,date,Portland_counts,SF_counts
0,2015-09-06,834,1266.0
1,2015-09-13,855,1156.0
2,2015-09-20,655,1430.0
3,2015-09-27,861,1593.0
4,2015-10-04,689,1540.0
5,2015-10-11,740,1489.0
6,2015-10-18,704,1344.0
7,2015-10-25,697,1204.0
8,2015-11-01,521,1189.0
9,2015-11-08,462,854.0
10,2015-11-15,506,950.0
11,2015-11-22,422,838.0
12,2015-11-29,446,542.0
13,2015-12-06,312,518.0
14,2015-12-13,371,575.0
15,2015-12-20,326,827.0
16,2015-12-27,300,517.0
17,2016-01-03,508,762.0
18,2016-01-10,351,632.0
19,2016-01-17,380,999.0
20,2016-01-24,362,771.0
21,2016-01-31,281,682.0
22,2016-02-07,301,712.0
23,2016-02-14,380,1019.0
24,2016-02-21,598,1091.0
25,2016-02-28,399,807.0
26,2016-03-06,378,1015.0
27,2016-03-13,479,865.0
28,2016-03-20,550,1263.0
29,2016-03-27,758,1093.0
30,2016-04-03,511,951.0
31,2016-04-10,674,1162.0
32,2016-04-17,649,1089.0
33,2016-04-24,573,945.0
34,2016-05-01,569,961.0
35,2016-05-08,655,1234.0
36,2016-05-15,656,1148.0
37,2016-05-22,867,1527.0
38,2016-05-29,846,1498.0
39,2016-06-05,999,1246.0
40,2016-06-12,946,1483.0
41,2016-06-19,1004,1468.0
42,2016-06-26,1009,1417.0
43,2016-07-03,1094,1349.0
44,2016-07-10,1198,1159.0
45,2016-07-17,1252,1486.0
46,2016-07-24,1256,1471.0
47,2016-07-31,1200,1569.0
48,2016-08-07,1291,1677.0
49,2016-08-14,1300,1816.0
50,2016-08-21,1322,1834.0
51,2016-08-28,1250,1601.0
52,2016-09-04,1153,1416.0
53,2016-09-11,1203,1571.0
54,2016-09-18,1104,1939.0
55,2016-09-25,1125,2177.0
56,2016-10-02,900,1774.0
57,2016-10-09,952,2159.0
58,2016-10-16,951,1579.0
59,2016-10-23,830,1575.0
60,2016-10-30,746,1354.0
61,2016-11-06,669,1136.0
62,2016-11-13,784,1140.0
63,2016-11-20,564,1060.0
64,2016-11-27,666,806.0
65,2016-12-04,464,736.0
66,2016-12-11,443,909.0
67,2016-12-18,457,1151.0
68,2016-12-25,397,748.0
69,2017-01-01,655,1013.0
70,2017-01-08,552,966.0
71,2017-01-15,488,1395.0
72,2017-01-22,573,1128.0
73,2017-01-29,432,1103.0
74,2017-02-05,496,1089.0
75,2017-02-12,472,1057.0
76,2017-02-19,663,1501.0
77,2017-02-26,673,1165.0
78,2017-03-05,632,1364.0
79,2017-03-12,659,1182.0
80,2017-03-19,970,1292.0
81,2017-03-26,950,1327.0
82,2017-04-02,877,1391.0
83,2017-04-09,791,1489.0
84,2017-04-16,815,1205.0
85,2017-04-23,826,1258.0
86,2017-04-30,790,1368.0
87,2017-05-07,783,1456.0
88,2017-05-14,766,1486.0
89,2017-05-21,892,1691.0
90,2017-05-28,1019,1569.0
91,2017-06-04,1044,1447.0
92,2017-06-11,979,1454.0
93,2017-06-18,1236,1611.0
94,2017-06-25,1275,1608.0
95,2017-07-02,1117,1486.0
96,2017-07-09,1413,1538.0
97,2017-07-16,1322,1764.0
98,2017-07-23,1348,1716.0
99,2017-07-30,1387,1934.0
100,2017-08-06,1302,1838.0
101,2017-08-13,1553,1844.0
102,2017-08-20,1679,2096.0
103,2017-08-27,1958,1849.0
104,2017-09-03,1274,1613.0
105,2017-09-10,1356,1807.0
106,2017-09-17,1089,2042.0
107,2017-09-24,1027,1992.0
108,2017-10-01,879,1874.0
109,2017-10-08,974,2221.0
110,2017-10-15,1119,2016.0
111,2017-10-22,829,1544.0
112,2017-10-29,744,1218.0
113,2017-11-05,693,1085.0
114,2017-11-12,706,1724.0
115,2017-11-19,624,1093.0
116,2017-11-26,696,908.0
117,2017-12-03,495,728.0
118,2017-12-10,493,898.0
119,2017-12-17,456,908.0
120,2017-12-24,480,830.0
121,2017-12-31,573,890.0
122,2018-01-07,622,1146.0
123,2018-01-14,506,1440.0
124,2018-01-21,590,1048.0
125,2018-01-28,464,1118.0
126,2018-02-04,446,1220.0
127,2018-02-11,493,1062.0
128,2018-02-18,897,1297.0
129,2018-02-25,744,1374.0
130,2018-03-04,613,1191.0
131,2018-03-11,722,1235.0
132,2018-03-18,886,1377.0
133,2018-03-25,800,1603.0
134,2018-04-01,1041,1613.0
135,2018-04-08,845,1333.0
136,2018-04-15,766,1262.0
137,2018-04-22,784,1719.0
138,2018-04-29,876,1436.0
139,2018-05-06,899,1469.0
140,2018-05-13,828,1433.0
141,2018-05-20,961,1530.0
142,2018-05-27,1043,1665.0
143,2018-06-03,1140,1371.0
144,2018-06-10,1077,1430.0
145,2018-06-17,1100,1535.0
146,2018-06-24,1284,1455.0
147,2018-07-01,1327,1595.0
148,2018-07-08,1410,1193.0
149,2018-07-15,1359,1585.0
150,2018-07-22,1487,1547.0
151,2018-07-29,1449,1658.0
152,2018-08-05,1341,1658.0
153,2018-08-12,1495,1620.0
154,2018-08-19,1496,1775.0
155,2018-08-26,1354,1604.0
156,2018-09-02,1159,1356.0
157,2018-09-09,1243,1584.0
158,2018-09-16,1072,1642.0
159,2018-09-23,1067,1726.0
160,2018-09-30,1071,1894.0
161,2018-10-07,888,1743.0
162,2018-10-14,899,1661.0
163,2018-10-21,931,1745.0
164,2018-10-28,836,1805.0
165,2018-11-04,647,1181.0
166,2018-11-11,673,1376.0
167,2018-11-18,809,1403.0
168,2018-11-25,691,796.0
169,2018-12-02,497,825.0
170,2018-12-09,526,951.0
171,2018-12-16,519,882.0
172,2018-12-23,473,812.0
173,2018-12-30,531,808.0
174,2019-01-06,648,1082.0
175,2019-01-13,445,1455.0
176,2019-01-20,481,1150.0
177,2019-01-27,480,1122.0
178,2019-02-03,435,1040.0
179,2019-02-10,532,1456.0
180,2019-02-17,617,1523.0
181,2019-02-24,629,1281.0
182,2019-03-03,512,1093.0
183,2019-03-10,583,1521.0
184,2019-03-17,685,1237.0
185,2019-03-24,775,1630.0
186,2019-03-31,1081,1325.0
187,2019-04-07,704,1188.0
188,2019-04-14,662,1649.0
189,2019-04-21,703,1513.0
190,2019-04-28,755,1354.0
191,2019-05-05,761,1436.0
192,2019-05-12,715,1564.0
193,2019-05-19,771,1548.0
194,2019-05-26,868,1678.0
195,2019-06-02,1004,1501.0
196,2019-06-09,927,1387.0
197,2019-06-16,923,1568.0
198,2019-06-23,1035,1438.0
199,2019-06-30,871,1116.0
