,std_nb,date,median_price
0,Bayview,2015-05-10,110.0
1,Bayview,2015-05-17,100.0
2,Bayview,2015-05-24,100.0
3,Bayview,2015-05-31,101.0
4,Bayview,2015-06-07,101.0
5,Bayview,2015-06-14,101.0
6,Bayview,2015-06-21,100.0
7,Bayview,2015-06-28,101.0
8,Bayview,2015-07-05,100.0
9,Bayview,2015-07-12,100.0
10,Bayview,2015-07-19,100.0
11,Bayview,2015-07-26,100.0
12,Bayview,2015-08-02,100.0
13,Bayview,2015-09-06,117.0
14,Bayview,2015-09-13,109.0
15,Bayview,2015-09-20,99.0
16,Bayview,2015-09-27,109.0
17,Bayview,2015-10-04,99.0
18,Bayview,2015-10-11,100.0
19,Bayview,2015-10-18,100.0
20,Bayview,2015-10-25,101.0
21,Bayview,2015-11-01,100.0
22,Bayview,2015-11-08,99.0
23,Bayview,2015-11-15,99.0
24,Bayview,2015-11-22,95.0
25,Bayview,2015-11-29,95.0
26,Bayview,2015-12-06,92.0
27,Bayview,2015-12-13,94.25
28,Bayview,2015-12-20,91.25
29,Bayview,2015-12-27,92.5
30,Bayview,2016-01-03,99.0
31,Bayview,2016-01-10,98.25
32,Bayview,2016-01-17,99.0
33,Bayview,2016-01-24,99.0
34,Bayview,2016-01-31,99.0
35,Bayview,2016-02-07,105.0
36,Bayview,2016-02-14,99.0
37,Bayview,2016-02-21,99.0
38,Bayview,2016-02-28,99.0
39,Bayview,2016-03-06,99.0
40,Bayview,2016-03-13,95.0
41,Bayview,2016-03-20,95.0
42,Bayview,2016-03-27,95.0
43,Bayview,2016-04-03,95.0
44,Bayview,2016-04-10,95.0
45,Bayview,2016-04-17,95.0
46,Bayview,2016-04-24,95.0
47,Bayview,2016-05-01,95.0
48,Bayview,2016-05-08,95.0
49,Bayview,2016-05-15,95.0
50,Bayview,2016-05-22,95.0
51,Bayview,2016-05-29,99.0
52,Bayview,2016-06-05,99.0
53,Bayview,2016-06-12,95.0
54,Bayview,2016-06-19,90.0
55,Bayview,2016-06-26,95.0
56,Bayview,2016-07-03,95.0
57,Bayview,2016-07-10,98.0
58,Bayview,2016-07-17,91.5
59,Bayview,2016-07-24,96.0
60,Bayview,2016-07-31,99.0
61,Bayview,2016-08-07,99.0
62,Bayview,2016-08-14,90.0
63,Bayview,2016-08-21,89.0
64,Bayview,2016-08-28,90.0
65,Bayview,2016-09-04,89.0
66,Bayview,2016-09-11,99.0
67,Bayview,2016-09-18,100.0
68,Bayview,2016-09-25,90.5
69,Bayview,2016-10-02,88.5
70,Bayview,2016-10-09,85.0
71,Bayview,2016-10-16,85.66666666666667
72,Bayview,2016-10-23,85.33333333333333
73,Bayview,2016-10-30,85.16666666666666
74,Bayview,2016-11-06,79.0
75,Bayview,2016-11-13,77.83333333333333
76,Bayview,2016-11-20,77.33333333333333
77,Bayview,2016-11-27,79.0
78,Bayview,2016-12-04,77.0
79,Bayview,2016-12-11,77.0
80,Bayview,2016-12-18,77.5
81,Bayview,2016-12-25,79.66666666666667
82,Bayview,2017-01-01,80.0
83,Bayview,2017-01-08,75.0
84,Bayview,2017-01-15,75.0
85,Bayview,2017-01-22,73.0
86,Bayview,2017-01-29,75.0
87,Bayview,2017-02-05,71.83333333333334
88,Bayview,2017-02-12,75.0
89,Bayview,2017-02-19,74.0
90,Bayview,2017-02-26,72.66666666666667
91,Bayview,2017-03-05,75.0
92,Bayview,2017-03-12,75.0
93,Bayview,2017-03-19,74.75
94,Bayview,2017-03-26,75.0
95,Bayview,2017-04-02,75.0
96,Bayview,2017-04-09,75.0
97,Bayview,2017-04-16,75.0
98,Bayview,2017-04-23,75.0
99,Bayview,2017-04-30,75.5
100,Bayview,2017-05-07,77.0
101,Bayview,2017-05-14,79.0
102,Bayview,2017-05-21,80.0
103,Bayview,2017-05-28,76.0
104,Bayview,2017-06-04,80.0
105,Bayview,2017-06-11,83.5
106,Bayview,2017-06-18,85.66666666666667
107,Bayview,2017-06-25,86.5
108,Bayview,2017-07-02,89.0
109,Bayview,2017-07-09,92.0
110,Bayview,2017-07-16,99.0
111,Bayview,2017-07-23,99.0
112,Bayview,2017-07-30,96.75
113,Bayview,2017-08-06,99.0
114,Bayview,2017-08-13,100.0
115,Bayview,2017-08-20,99.0
116,Bayview,2017-08-27,97.33333333333333
117,Bayview,2017-09-03,98.0
118,Bayview,2017-09-10,89.0
119,Bayview,2017-09-17,92.0
120,Bayview,2017-09-24,92.0
121,Bayview,2017-10-01,90.0
122,Bayview,2017-10-08,96.0
123,Bayview,2017-10-15,95.0
124,Bayview,2017-10-22,89.5
125,Bayview,2017-10-29,89.0
126,Bayview,2017-11-05,89.0
127,Bayview,2017-11-12,86.0
128,Bayview,2017-11-19,80.0
129,Bayview,2017-11-26,80.25
130,Bayview,2017-12-03,80.0
131,Bayview,2017-12-10,80.0
132,Bayview,2017-12-17,79.0
133,Bayview,2017-12-24,80.6
134,Bayview,2017-12-31,80.6
135,Bayview,2018-01-07,79.0
136,Bayview,2018-01-14,76.5
137,Bayview,2018-01-21,75.66666666666667
138,Bayview,2018-01-28,75.0
139,Bayview,2018-02-04,76.2
140,Bayview,2018-02-11,75.0
141,Bayview,2018-02-18,75.0
142,Bayview,2018-02-25,75.0
143,Bayview,2018-03-04,75.6
144,Bayview,2018-03-11,75.0
145,Bayview,2018-03-18,75.0
146,Bayview,2018-03-25,75.0
147,Bayview,2018-04-01,75.0
148,Bayview,2018-04-08,75.0
149,Bayview,2018-04-15,74.25
150,Bayview,2018-04-22,75.66666666666667
151,Bayview,2018-04-29,75.66666666666667
152,Bayview,2018-05-06,79.0
153,Bayview,2018-05-13,86.33333333333334
154,Bayview,2018-05-20,85.0
155,Bayview,2018-05-27,80.0
156,Bayview,2018-06-03,87.75
157,Bayview,2018-06-10,89.5
158,Bayview,2018-06-17,90.0
159,Bayview,2018-06-24,94.0
160,Bayview,2018-07-01,91.0
161,Bayview,2018-07-08,98.0
162,Bayview,2018-07-15,98.0
163,Bayview,2018-07-22,99.0
164,Bayview,2018-07-29,98.0
165,Bayview,2018-08-05,99.0
166,Bayview,2018-08-12,110.0
167,Bayview,2018-08-19,102.0
168,Bayview,2018-08-26,88.25
169,Bayview,2018-09-02,84.0
170,Bayview,2018-09-09,91.0
171,Bayview,2018-09-16,91.0
172,Bayview,2018-09-23,92.0
173,Bayview,2018-09-30,91.0
174,Bayview,2018-10-07,79.0
175,Bayview,2018-10-14,85.0
176,Bayview,2018-10-21,85.0
177,Bayview,2018-10-28,84.66666666666666
178,Bayview,2018-11-04,79.0
179,Bayview,2018-11-11,85.0
180,Bayview,2018-11-18,83.33333333333333
181,Bayview,2018-11-25,78.33333333333333
182,Bayview,2018-12-02,79.0
183,Bayview,2018-12-09,75.0
184,Bayview,2018-12-16,70.0
185,Bayview,2018-12-23,73.0
186,Bayview,2018-12-30,75.0
187,Bayview,2019-01-06,79.0
188,Bayview,2019-01-13,75.0
189,Bayview,2019-01-20,70.0
190,Bayview,2019-01-27,70.0
191,Bayview,2019-02-03,70.0
192,Bayview,2019-02-10,68.33333333333333
193,Bayview,2019-02-17,69.5
194,Bayview,2019-02-24,69.83333333333334
195,Bayview,2019-03-03,70.0
196,Bayview,2019-03-10,70.0
197,Bayview,2019-03-17,70.0
198,Bayview,2019-03-24,70.0
199,Bayview,2019-03-31,70.0
200,Bayview,2019-04-07,72.25
201,Bayview,2019-04-14,71.75
202,Bayview,2019-04-21,70.0
203,Bayview,2019-04-28,72.33333333333333
204,Bayview,2019-05-05,75.0
205,Bayview,2019-05-12,75.66666666666667
206,Bayview,2019-05-19,75.66666666666667
207,Bayview,2019-05-26,75.66666666666667
208,Bayview,2019-06-02,75.0
209,Bayview,2019-06-09,78.5
210,Bayview,2019-06-16,79.0
211,Bayview,2019-06-23,79.0
212,Bayview,2019-06-30,79.0
213,Bayview,2019-07-07,79.0
214,Bayview,2019-07-14,79.0
215,Bayview,2019-07-21,79.0
216,Bayview,2019-07-28,79.0
217,Bayview,2019-08-04,79.0
218,Bayview,2019-08-11,92.0
219,Bayview,2019-08-18,98.5
220,Bayview,2019-08-25,86.0
221,Bayview,2019-09-01,81.0
222,Bayview,2019-09-08,96.0
223,Bayview,2019-09-15,83.0
224,Bayview,2019-09-22,90.0
225,Bayview,2019-09-29,79.0
226,Bayview,2019-10-06,80.0
227,Bernal Heights,2015-05-10,101.5
228,Bernal Heights,2015-05-17,110.0
229,Bernal Heights,2015-05-24,120.0
230,Bernal Heights,2015-05-31,111.0
231,Bernal Heights,2015-06-07,125.0
232,Bernal Heights,2015-06-14,120.0
233,Bernal Heights,2015-06-21,120.0
234,Bernal Heights,2015-06-28,120.0
235,Bernal Heights,2015-07-05,120.0
236,Bernal Heights,2015-07-12,120.0
237,Bernal Heights,2015-07-19,120.0
238,Bernal Heights,2015-07-26,120.0
239,Bernal Heights,2015-08-02,120.0
240,Bernal Heights,2015-09-06,125.0
241,Bernal Heights,2015-09-13,125.0
242,Bernal Heights,2015-09-20,120.0
243,Bernal Heights,2015-09-27,120.0
244,Bernal Heights,2015-10-04,124.0
245,Bernal Heights,2015-10-11,120.0
246,Bernal Heights,2015-10-18,125.0
247,Bernal Heights,2015-10-25,119.5
248,Bernal Heights,2015-11-01,119.0
249,Bernal Heights,2015-11-08,115.0
250,Bernal Heights,2015-11-15,110.0
251,Bernal Heights,2015-11-22,109.0
252,Bernal Heights,2015-11-29,110.0
253,Bernal Heights,2015-12-06,100.0
254,Bernal Heights,2015-12-13,100.0
255,Bernal Heights,2015-12-20,100.0
256,Bernal Heights,2015-12-27,108.25
257,Bernal Heights,2016-01-03,105.0
258,Bernal Heights,2016-01-10,105.0
259,Bernal Heights,2016-01-17,109.0
260,Bernal Heights,2016-01-24,107.0
261,Bernal Heights,2016-01-31,107.0
262,Bernal Heights,2016-02-07,125.0
263,Bernal Heights,2016-02-14,105.0
264,Bernal Heights,2016-02-21,100.0
265,Bernal Heights,2016-02-28,100.0
266,Bernal Heights,2016-03-06,109.0
267,Bernal Heights,2016-03-13,109.0
268,Bernal Heights,2016-03-20,109.0
269,Bernal Heights,2016-03-27,109.0
270,Bernal Heights,2016-04-03,109.0
271,Bernal Heights,2016-04-10,109.0
272,Bernal Heights,2016-04-17,109.0
273,Bernal Heights,2016-04-24,110.0
274,Bernal Heights,2016-05-01,110.0
275,Bernal Heights,2016-05-08,110.0
276,Bernal Heights,2016-05-15,110.0
277,Bernal Heights,2016-05-22,110.0
278,Bernal Heights,2016-05-29,110.0
279,Bernal Heights,2016-06-05,110.0
280,Bernal Heights,2016-06-12,115.0
281,Bernal Heights,2016-06-19,115.0
282,Bernal Heights,2016-06-26,112.5
283,Bernal Heights,2016-07-03,111.0
284,Bernal Heights,2016-07-10,112.66666666666667
285,Bernal Heights,2016-07-17,110.0
286,Bernal Heights,2016-07-24,112.33333333333333
287,Bernal Heights,2016-07-31,115.0
288,Bernal Heights,2016-08-07,113.0
289,Bernal Heights,2016-08-14,112.0
290,Bernal Heights,2016-08-21,110.0
291,Bernal Heights,2016-08-28,115.0
292,Bernal Heights,2016-09-04,119.0
293,Bernal Heights,2016-09-11,113.33333333333333
294,Bernal Heights,2016-09-18,118.5
295,Bernal Heights,2016-09-25,119.0
296,Bernal Heights,2016-10-02,111.5
297,Bernal Heights,2016-10-09,119.5
298,Bernal Heights,2016-10-16,114.0
299,Bernal Heights,2016-10-23,112.0
300,Bernal Heights,2016-10-30,110.0
301,Bernal Heights,2016-11-06,105.75
302,Bernal Heights,2016-11-13,100.0
303,Bernal Heights,2016-11-20,100.66666666666667
304,Bernal Heights,2016-11-27,105.0
305,Bernal Heights,2016-12-04,103.33333333333333
306,Bernal Heights,2016-12-11,103.5
307,Bernal Heights,2016-12-18,101.5
308,Bernal Heights,2016-12-25,100.0
309,Bernal Heights,2017-01-01,100.0
310,Bernal Heights,2017-01-08,100.0
311,Bernal Heights,2017-01-15,100.0
312,Bernal Heights,2017-01-22,100.0
313,Bernal Heights,2017-01-29,100.0
314,Bernal Heights,2017-02-05,100.0
315,Bernal Heights,2017-02-12,101.5
316,Bernal Heights,2017-02-19,100.0
317,Bernal Heights,2017-02-26,100.0
318,Bernal Heights,2017-03-05,99.0
319,Bernal Heights,2017-03-12,98.33333333333333
320,Bernal Heights,2017-03-19,99.0
321,Bernal Heights,2017-03-26,97.0
322,Bernal Heights,2017-04-02,98.16666666666666
323,Bernal Heights,2017-04-09,110.0
324,Bernal Heights,2017-04-16,100.0
325,Bernal Heights,2017-04-23,99.0
326,Bernal Heights,2017-04-30,100.0
327,Bernal Heights,2017-05-07,99.0
328,Bernal Heights,2017-05-14,100.0
329,Bernal Heights,2017-05-21,100.0
330,Bernal Heights,2017-05-28,104.33333333333333
